Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
1844,1848,1815.5,1823.7,10114140157,267078,5533463
1916,1916,1862.85,1867.05,10805850966,177957,5747770
1922.1,1945,1911.45,1920.75,7100450832,209492,3690315
1938.55,1953.9,1930.5,1939.5,10216874399,177946,5262464
1882,1933,1881,1929.35,14706988627,225842,7688506
1905,1912.5,1866.35,1896.8,27044612998,390078,14277630
1868.9,1889,1860,1877.45,10050718588,195948,5362535
1855,1870,1850.15,1855.6,9564958557,189308,5142287
1815,1869.9,1813,1850.75,14554564594,227924,7857560
1815.45,1836,1806.8,1814.3,8791606623,148117,4834389
1828,1828,1800,1817.8,11686479371,232721,6449205
1900,1902.9,1840,1844.65,12994844600,289755,6995719
1898.45,1906.65,1878,1899.15,7408140297,120603,3921999
1887.75,1914.05,1887.75,1898.45,6342326138,128107,3329616
1890,1898.35,1871.65,1887.75,8717788086,132766,4619420
1884.5,1909.8,1874.35,1892.85,8689853630,127547,4584738
1883.5,1893.8,1876.4,1885.55,6104257384,94918,3236635
1880.7,1895.9,1878.4,1888,6304763251,147835,3340933
1860,1874.5,1845.05,1866.15,4935229850,141608,2647733
1872.95,1875.75,1854,1863.5,7047796921,119651,3780347
1831.25,1861.6,1827,1857.6,7607253609,160898,4112933
1825,1829.15,1812.35,1824.7,7565456224,121978,4156428
1801,1838,1801,1811.6,9753723500,204777,5353584
1801.7,1829.65,1787.3,1798.9,10423053263,220523,5773891
1820,1842,1806.75,1820.85,34427916211,398575,18887243
1762.65,1777.6,1758,1771.6,7924136142,161944,4481031
1745,1747.95,1721.2,1734.2,5289916760,123458,3053149
1730.9,1763,1710.35,1752.15,8328622415,178424,4768144
1767.05,1771.35,1738.8,1744.65,7076097488,138705,4040584
1760,1763.75,1746,1759.25,3199026985,114797,1823469
1759,1769.4,1742,1763.45,3658856607,90007,2082171
1733,1759.8,1732.6,1753.35,5299514522,101838,3029169
1701.1,1724.9,1694,1711.65,7191049986,113379,4202122
1730,1733.95,1691.5,1695.3,6807306904,170662,3991449
1771.1,1786.65,1732.55,1735.55,11876876754,172077,6754012
1715,1750.5,1711.35,1748.25,9661020146,173258,5559574
1715,1741.9,1713,1714.9,8967308950,204083,5193264
1704.55,1729.9,1700.05,1712.65,25379600677,209403,14808963
1691,1712,1669.15,1696.35,6681771091,187081,3942776
1702.55,1718.35,1684,1691.65,7646702666,189716,4494181
1700,1726.2,1696.95,1722.4,7678310604,141756,4476260
1740,1740.5,1688,1696,12560636399,261744,7333061
1735.1,1747.25,1710,1736.9,14616871616,228363,8436160
1784,1785.4,1751.15,1759.4,11696747301,170729,6621839
